Books,Start,End,Pages,Words,Author - First Name,Author - Last Name,Author - Gender,Author - Race,Author - Ethnicity,Author - Nationality,Series,Place in Series,Genre,Publisher ,Year Written,Color,Rating,Source,Format
Station Eleven,10/08/2022,10/11/2022,333,"99,567",Emily St. John,Mendel,Female,White,NHO,Canadian,NONE,NONE,Science-Fiction,Knopf,2014,Dark Blue,4,SLCL,Hardcover
Kingdom of Ash,10/12/2022,10/18/2022,980,"294,216",Sarah J.,Maas,Female,White,NHO,American,Throne of Glass,7,Fantasy-Fiction,Bloomsbury Publishing,2018,Yellow,5,SLCL,Hardcover
The Final Girl Support Group,10/19/2022,10/20/2022,339,"105,248",Grady,Hendrix,Male,White,NHO,American,NONE,NONE,Horror-Fiction,Berkley Books,2021,Red,3,SLCL,Hardcover
The Atlas Six,10/21/2022,10/23/2022,373,"114,517",Olivie,Blake,Female,Asian,NHO,Filipino-American,The Atlas,1,Fantasy-Fiction,Tor Books,2020,Black,4,SLCL,Hardcover
The Glass Hotel,10/24/2022,10/26/2022,301,"90,298",Emily St. John,Mendel,Female,White,NHO,Canadian,NONE,NONE,Science-Fiction,Knopf,2020,Teal,4,SLCL,Hardcover
Ella Minnow Pea: A Novel in Letters,10/27/2022,10/27/2022,208,"62,192",Mark,Dunn,Male,White,NHO,American,NONE,NONE,Humor-Fiction,Anchor,2001,Orange,5,SLCL,Paperback
The Priory of the Orange Tree,10/28/2022,11/02/2022,804,"253,552",Samantha,Shannon,Female,White,NHO,British,The Roots of Chaos,1,Fantasy-Fiction,Bloomsbury Publishing,2019,Blue,5,SLCL,Hardcover
Funny You Should Ask,11/03/2022,11/04/2022,340,"105,248",Elissa,Sussman,Female,White,NHO,American,NONE,NONE,Romance-Fiction,Dell,2022,Pink,4,SLCL,Paperback
The Vanishing Half,11/05/2022,11/07/2022,343,"102,557",Brit,Bennett,Female,Black,NHO,American,NONE,NONE,Historical-Fiction,Riverhead Books,2020,Mint Green,5,SLCL,Hardcover
The Bone Season,11/09/2022,11/12/2022,452,"139,334",Samantha,Shannon,Female,White,NHO,British,The Bone Season,1,Fantasy-Fiction,Bloomsbury Publishing,2013,Blue,4,SLCL,Hardcover
Blood of Troy,11/14/2022,11/17/2022,456,"138,736",Claire M.,Andrews,Female,White,NHO,American,Daughter of Sparta,2,Mythology-Fiction,Jimmy Patterson Books,2022,Gray,4,SLCL,Hardcover
Other People's Houses,11/19/2022,11/20/2022,330,"105,248",Abbi,Waxman,Female,White,NHO,American,NONE,NONE,Contemporary-Fiction,Berkley Books,2018,Yellow,4,Owned,Paperback
Firecracker,11/21/2022,11/22/2022,331,"100,464",David,Iserson,Male,White,NHO,American,NONE,NONE,Contemporary-Fiction,Razorbill,2013,Magenta,3,Owned,Paperback
The Lost Apothecary,11/24/2022,11/26/2022,301,"89,999",Sarah,Penner,Female,White,NHO,American,NONE,NONE,Historical-Fiction,Park Row,2021,Purple,4,SLCL,Hardcover
Bunny,11/27/2022,11/29/2022,305,"91,793",Mona,Awad,Female,White,NHO,Canadian,NONE,NONE,Horror-Fiction,Viking,2019,Pink,4,SLCL,Hardcover
The Mime Order,12/01/2022,12/04/2022,501,"152,490",Samantha,Shannon,Female,White,NHO,British,The Bone Season,2,Fantasy-Fiction,Bloomsbury Publishing,2015,Red,5,SLCL,Hardcover
The Pale Dreamer,12/06/2022,12/06/2022,78,"23,322",Samantha,Shannon,Female,White,NHO,British,The Bone Season,0.5,Fantasy-Fiction,Bloomsbury Publishing,2017,Yellow,4,Libby,E-Book
The Song Rising,12/06/2022,12/08/2022,350,"114,816",Samantha,Shannon,Female,White,NHO,British,The Bone Season,3,Fantasy-Fiction,Bloomsbury Publishing,2017,Orange,5,SLCL,Hardcover
The Silent Patient,12/09/2022,12/10/2022,323,"97,175",Alex,Michaelides,Male,White,NHO,British-Cypriot,NONE,NONE,Thriller-Fiction,Celadon Books,2019,Brown,4,SLCL,Hardcover
The Dawn Chorus,12/11/2022,12/11/2022,112,"23,322",Samantha,Shannon,Female,White,NHO,British,The Bone Season,3.5,Fantasy-Fiction,Bloomsbury Publishing,2020,Brown,4,Scribd,E-Book
On the Merits of Unnaturalness,12/11/2022,12/11/2022,50,"11,063",Samantha,Shannon,Female,White,NHO,British,The Bone Season,0,Fantasy-Fiction,Bloomsbury Publishing,2015,Black,4,Libby,E-Book
On a Quiet Street ,12/12/2022,12/12/2022,304,"90,298",Seraphina Nova,Glass,Female,Black,NHO,American,NONE,NONE,Thriller-Fiction,Graydon House,2022,Blue,4,SLCL,Paperback
Eileen,12/13/2022,12/15/2022,260,"77,740",Ottessa,Moshfegh,Female,White,NHO,American,NONE,NONE,Mystery-Fiction,Penguin Press,2015,Red,4,SLCL,Hardcover
Eleanor Oliphant is Completely Fine,12/17/2022,12/19/2022,325,"114,517",Gail,Honeyman,Female,White,NHO,Scottish,NONE,NONE,Contemporary-Fiction,Penguin Books,2017,Teal,5,SLCL,Hardcover
Cursed,12/20/2022,12/23/2022,485,"145,015",Marissa,Meyer,Female,White,NHO,American,Gilded,2,Fantasy-Fiction,Feiwel & Friends,2022,Teal,4,SLCL,Hardcover
The Mask Falling,12/25/2022,12/28/2022,466,"139,334",Samantha,Shannon,Female,White,NHO,British,The Bone Season,4,Fantasy-Fiction,Bloomsbury Publishing,2021,Purple,5,SLCL,Hardcover
The Atlas Paradox ,12/29/2022,12/31/2022,399,"118,703",Olivie,Blake,Female ,Asian,NHO,Filipino-American,The Atlas,2,Fantasy-Fiction,Tor Books,2022,Gold,4,SLCL,Hardcover
Galatea,12/31/2022,12/31/2022,23,"5,980",Madeline ,Miller,Female,White,NHO,American,NONE,NONE,Mythology-Fiction,Ecco,2013,Blue,5,Scribd,E-Book
